Subject,Gender,Region,Education,Lo D, Lo F,Lo D, Hi F,Hi D, Lo F,Hi D, Hi F
1,Female,North,some,6,6,9,10
2,Female,North,advance,10,,10,10
3,Female,Europe,college,5,10,10,10
4,Female,North,college,6,9,6,9
5,Female,North,some,3,6.5,5.5,8.5
6,Female,Europe,some,2,0.5,7.5,3
7,Female,North,some,10,10,10,10
8,Female,North,high,10,10,9,10
9,Female,North,high,9.5,9.5,6,10
10,Female,Other,high,8.5,10,7,
11,Male,North,some,0,2.5,0,0
12,Male,North,some,9.5,7.5,8.5,10
13,Female,North,less,7,8.5,6.5,8.5
14,Female,North,some,3,8,4,8.5
15,Male,North,some,4,5,6,7
16,Male,North,high,7,8.5,8.5,9
17,Male,North,some,2,6,10,10
18,Female,North,high,7.5,6,7.5,10
19,Female,North,some,6.5,6,10,10
20,Female,North,some,7,9,8.5,9.5
22,Female,North,some,3,4.5,5,9.5
23,Female,Austral,some,2.5,9.5,4.5,7.5
24,Female,North,less,10,10,9,10
25,Male,Europe,high,0,1.5,4,1.5
26,Female,Europe,some,0.5,0.5,4.5,5.5
27,Female,North,less,5,7.5,3.5,10
29,Female,Other,some,6.5,5,10,10
30,Female,North,some,8,9,8,8
31,Female,North,some,3,10,7.5,6
32,Male,Europe,some,7.5,7,6.5,10
33,Male,North,some,6.5,10,10,4
34,Male,Europe,college,4.5,8.5,8.5,6
35,Male,North,some,3,2,8,4
36,Male,North,some,6,10,2,4.5
37,Female,North,some,4,10,7,10
38,Female,North,some,4.5,7,10,10
39,Male,North,some,7,7,10,9
40,,,,8,8.5,8,9.5
41,Female,North,some,5,7.5,7.5,7.5
42,Female,North,high,5,8.5,,9.5
43,Female,North,some,2,2,0,5.5
45,Male,North,partial,7.5,7,6.5,8
46,Female,North,less,3.5,4,1,10
47,Female,North,advance,5,7.5,0.5,2.5
48,Male,North,some,2,3.5,9.5,5.5
49,Male,North,some,4,8,1.5,9.5
50,Female,North,some,5,6,4.5,3.5
51,Female,North,some,5.5,2.5,8,9
52,Female,North,less,10,10,10,10
53,Female,North,some,7,8.5,4,9
54,Female,Other,some,5.5,10,6,10
56,Female,North,some,10,10,10,10
57,Female,South,some,9.5,10,10,10
58,Male,North,some,6,4.5,7.5,6
59,Female,North,less,7.5,6.5,10,8.5
60,Male,North,less,3.5,7.5,8,8
61,Female,North,college,2.5,7.5,5,7.5
62,Male,North,less,3.5,9.5,3.5,8
64,Female,Europe,some,8.5,6,,5
65,Female,North,less,3,8.5,10,2.5
66,Male,North,less,6,10,3,8.5
67,Male,North,high,5.5,8,4.5,9.5
68,Male,North,high,3,8,10,7
69,Male,North,college,2,8.5,4,6
70,Female,North,less,4,9,2.5,10
71,Female,North,less,9,10,8.5,10
72,Female,North,some,10,10,10,10
73,Female,North,some,5.5,6,1,5.5
74,Male,North,less,6,8.5,8.5,9
76,Female,North,some,9,9,9,9
77,Female,North,some,6,6,7.5,6
78,Female,North,less,5,6.5,0.5,5.5
79,Male,North,less,6,8,9,7
80,Female,North,less,1.5,,9,9.5
81,Male,North,high,5.5,4,10,5.5
82,Female,North,high,9.5,9.5,9.5,8.5
83,Female,North,high,8,8,8.5,10
84,Female,North,some,0,5,0,5
85,Female,North,high,3,3,0.5,7
86,Male,North,less,7,7,8.5,7.5
87,Female,North,partial,5,4,3.5,5.5
88,Female,North,high,10,10,10,10
89,Male,North,less,7.5,8,9.5,10
90,Male,North,less,6,8,4.5,6.5
91,Female,Other,some,7,7.5,8.5,8
92,Female,Europe,less,6.5,9.5,4,8.5
93,Female,North,less,6.5,10,10,10
95,Female,North,less,3,4,2,2
96,Male,North,high,10,10,10,10
97,Female,North,,8.5,10,8.5,10
98,Female,North,some,1.5,10,8.5,10
99,Female,North,some,9,10,10,10
100,Female,Europe,some,5.5,5.5,2,3
