ID;Incorrect
82884;0
25064;0
81235;0
71769;0
55080;0
93224;0
24331;0
81460;0
14608;0
79064;0
6227;0
59109;0
81527;0
27240;0
76073;0
83056;0
46163;0
85963;0
92464;0
15611;0
76619;0
91370;0
56015;0
91470;1
50826;0
40298;0
94886;0
29777;0
58849;0
38504;0
83557;0
19996;0
70799;0
1541;0
55337;0
80125;0
43450;0
57172;0
13432;0
58014;1
50149;0
42594;0
1171;0
15101;1
32267;0
25529;0
53784;0
45437;1
28052;0
78968;0
37026;0
33829;0
80645;0
81087;0
86073;0
95532;0
91184;0
45608;0
88748;0
70084;0
54483;0
73456;0
51272;0
81126;0
74733;0
79628;0
36891;0
48057;0
63992;0
38884;0
27566;0
38968;0
90160;0
44016;0
73993;0
45510;0
28956;0
23467;0
69335;0
24286;0
18890;0
27241;1
66252;0
24903;0
4437;0
20141;0
82532;0
24307;0
31740;0
90333;0
7224;0
75133;0
81148;0
19742;0
15009;0
9928;0
61593;0
55002;0
50415;0
61924;0
64282;0
42657;0
26909;0
50144;0
57542;0
88261;0
66000;0
9756;0
32748;0
4756;0
96196;0
63432;0
12128;0
5748;0
4225;0
14573;0
2548;0
59254;0
66939;0
8083;0
63904;0
41110;0
37985;0
46093;0
67389;0
25996;0
71325;0
13081;0
98356;0
95222;0
18668;0
99691;0
15769;0
27117;0
85452;0
45746;0
79417;0
26141;0
84329;0
93820;0
58999;0
68676;0
75053;0
72372;0
64061;0
90183;0
72906;0
59426;0
90102;0
13574;0
9567;0
54452;0
63777;0
44198;0
36290;0
70010;0
46379;0
54435;0
60607;0
97972;0
71729;0
76263;0
25808;0
38561;0
71358;0
37626;0
76571;0
26061;0
9202;0
36834;0
92003;0
89026;0
32752;0
82533;0
75329;0
27801;0
22515;0
86915;0
68646;0
14029;0
27597;0
27070;0
96080;0
39411;0
62693;0
93367;0
29395;0
66392;0
89893;0
30948;0
36460;0
70378;0
45187;0
60975;0
11666;0
84963;0
34540;0
37012;0
42629;0
89813;0
96029;0
16596;1
88668;0
96988;0
15553;0
93529;0
96963;1
53255;0
68667;0
61451;0
52190;0
25063;0
40051;0
25379;0
75428;0
55391;0
47821;0
11890;0
61802;0
4260;0
46828;0
15082;0
66403;0
10375;0
93255;0
58949;0
49529;0
51581;0
56655;0
6333;0
21256;0
15340;0
14642;0
91946;0
98624;0
55672;0
6152;0
94223;0
41466;0
92819;0
91732;0
89008;0
45233;0
63863;0
48325;0
74299;0
83880;0
20102;0
90733;0
39563;0
53984;0
78992;0
50083;0
85522;0
30200;0
71218;0
33418;0
43806;0
69881;0
14001;0
63859;0
66981;0
54284;0
92751;0
37216;0
86872;0
84630;0
57075;0
96292;0
82033;0
52048;0
96619;0
72845;0
39632;0
38505;0
44027;0
88999;0
61175;0
99647;0
45174;0
20770;0
92032;0
77471;0
81701;0
89577;0
92246;0
80079;0
18406;0
22629;1
4913;0
74963;1
298;0
38060;0
289;0
64172;0
8178;0
11643;0
53237;0
27495;0
86093;0
61726;0
94296;0
34347;0
46071;0
59363;0
11569;0
95190;0
85801;0
67608;0
89612;0
71865;0
49209;0
30386;0
10314;0
18614;0
59725;0
91495;0
64380;0
52870;0
20600;0
71099;0
65954;0
27159;0
56338;0
57791;0
72525;0
58378;0
55575;0
68330;0
30774;0
70645;0
58628;0
73222;1
59766;0
9782;0
56391;0
36694;0
8400;0
63311;0
92584;0
71552;0
81109;0
10991;0
15197;0
79622;0
36202;0
81428;0
75648;0
73011;0
13682;0
