"Normal10(mu=0,sigma=1)","Normal100(mu=0,sigma=1)","Normal1000(mu=0,sigma=1)","t10(df=1,ncp=0)","t100(df=1,ncp=0)","t1000(df=1,ncp=0)","F10(df1=5,df2=5,ncp=0)","F100(df1=5,df2=5,ncp=0)","F1000(df1=5,df2=5,ncp=0)","Chisq10(df=5,ncp=0)","Chisq100(df=5,ncp=0)","Chisq1000(df=5,ncp=0)","Beta10(alpha=1,beta=1)","Beta100(alpha=1,beta=1)","Beta1000(alpha=1,beta=1)","Gamma10(shape=1,scale=1)","Gamma100(shape=1,scale=1)","Gamma1000(shape=1,scale=1)","InvGamma10(shape=1,scale=1)","InvGamma100(shape=1,scale=1)","InvGamma1000(shape=1,scale=1)",Exp10(rate=1),Exp100(rate=1),Exp1000(rate=1),Bern10(p=0.5),Bern100(p=0.5),Bern1000(p=0.5),"Binom10(p=0.5,n=10)","Binom100(p=0.5,n=10)","Binom1000(p=0.5,n=10)","NBinom10(nsuccess=1,p=0.5)","NBinom100(nsuccess=1,p=0.5)","NBinom1000(nsuccess=1,p=0.5)",Pois10(lambda=1),Pois100(lambda=1),Pois1000(lambda=1)
-0.6264538107423324,1.511781168450848,-0.635736453948977,0.05802848647841349,-1.0462341934898713,0.637162462199727,0.4778723938014996,0.9200004892667429,0.652463453265076,6.019701460772236,2.4244218431127096,1.5210263899291676,0.792052584933117,0.04180174507200718,0.06590416887775064,1.2313198513423813,1.1310367690294854,1.2053272871362608,1.0971814305351104,0.4515193259435569,1.5475538642157547,1.68361663251164,0.04486828298309725,0.03418718138709664,0,1,0,6,6,4,0,0,0,0,1,0
0.18364332422208224,0.3898432364114311,-0.461644730360566,0.28287686031492054,3.052517992083591,0.9294874473052517,0.40051273222443684,0.6576458754582937,2.170937570264587,12.955738464651526,2.3685937519025075,4.260313722828127,0.7438729952555149,0.25357885705307126,0.41775380237959325,0.19069340224494993,0.3514141412340916,0.1598538299842287,4.119248932353226,0.8450611000303979,1.0179251791511412,0.30113906087353826,0.359164762776345,1.1339027294469002,1,1,1,4,5,4,0,0,3,1,0,0
-0.8356286124100472,-0.6212405805418038,1.432282238541663,-1.1159674353553202,2.541560599377812,1.1701295723460599,4.044113610500461,1.6600366613078805,1.1266014275099356,8.121268011786722,2.27062090725109,10.014711910689607,0.22640454629436138,0.5530834435485303,0.7415062219370157,0.06208522490299049,0.8057450013657229,0.9494351189991177,0.6524232756442397,0.6738851779186553,0.582350089043731,0.24940843367949128,0.2380613086562906,0.29731024196371436,0,1,1,7,6,5,1,2,2,0,0,1
1.5952808021377916,-2.2146998871775,-0.6506963533103667,-1.4708464722488883,2.4262927603889293,-0.8795777032698063,1.1437957216075072,0.1454814152714797,0.31151208148915044,2.391433039253695,2.9689892471900245,3.506099059362294,0.22856689663603905,0.8459504805505276,0.8381240696180612,0.7070928867225894,2.855759367849878,0.021203754400493453,0.37396123872392134,0.8803606388796202,0.6693889611735431,0.8080905107361199,0.7327794277970355,0.9218240472999336,0,1,0,5,6,5,0,2,1,2,2,2
0.3295077718153605,1.1249309181431082,-0.20738074360196543,-1.2602284590320227,2.595182107235499,0.39824597529227795,2.0126778132428402,3.4775774474387076,0.30356082215349384,2.516625750032491,7.014533275251843,4.823764635631646,0.3898207731544972,0.5538999754935503,0.2874542409554124,0.7495224512179004,0.09889205439490573,2.0733005778376423,0.9539495491991726,4.84777035246862,0.37096625179237347,0.1375755788758397,0.8505140830309206,0.053382146172225475,0,0,0,8,8,4,2,0,0,0,1,0
-0.8204683841180153,-0.04493360901523085,-0.3928079294419839,-0.1801355143900063,-0.2943426768351288,0.5644235705390565,0.41079680369417176,1.1311413211557357,0.8833507938613322,7.063366191902281,12.359664716286263,2.147316220691261,0.8262041790876539,0.48600479937158525,0.4152915438171476,0.6424436633055783,2.082568501700997,0.40385241720639564,0.7978626733657176,3.8479709593692655,1.550029905854655,0.0712345284409821,0.20302009209318314,0.4602884822525084,1,1,1,5,6,5,3,0,0,2,2,3
0.4874290524284853,-0.016190263098946087,-0.31999286854850684,-1.481880180832646,-9.085473569087727,0.660946023194552,2.259844759431295,0.36492178478794285,1.478749450320506,5.3132467175553435,8.867891790128015,5.504453587583301,0.3133415961638093,0.7183963891584426,0.08527026744559409,0.5013113259720737,0.8838651084100214,0.5674356152263934,3.603620857495263,46.45350752417995,12.704990083413971,0.05789652257211161,1.1181726485538515,0.16828510512190287,1,0,1,7,4,7,0,2,1,1,0,0
0.7383247051292173,0.9438362106852992,-0.27911330297655895,7.150549316619711,-1.3357050365546628,0.01440014214102564,0.6194411937078046,1.4303466059678314,1.0377724543276035,2.9612766739305045,5.770969980147772,15.287654050686392,0.944808571599424,0.7078873687423766,0.9623776343651116,6.235567139139842,0.5498798346256155,0.6155307720607791,1.0919562013431665,4.781675549684701,0.26481611219886864,0.2646966031752527,2.755833009131885,0.5280548515729606,0,0,1,5,6,3,0,1,5,1,3,0
0.5757813516534923,0.8212211950980886,0.494188331267827,-19.14628776191617,-0.16264093563183116,-0.044342755312130507,2.0739353126842897,0.6314787551295004,1.6729057664348772,3.006896174828082,2.259117343585122,0.9483550471240457,0.7213353691622615,0.4427773414645344,0.09441894036717711,0.20647233624573516,0.15345179985026478,2.2665992862273994,3.7377850916679756,2.9065807931066816,0.40321744293089135,0.09221809405081932,2.0258376634770876,1.675624335100675,1,0,1,3,6,4,0,0,1,5,1,4
-0.305388387156356,0.5939013212175088,-0.17733048226960638,1.6196435819494417,-0.7818647528127544,167.89003646138863,0.38948501054628293,2.5213768231022042,0.19172022301845842,2.8473084541452947,5.872587165056132,3.7847324163103973,0.5632770464289933,0.8373131887055933,0.29217982036061585,0.5461350503013199,0.1993853670378559,0.19229873831270242,0.8558463995292086,0.6990736638291062,0.2904191010329107,2.3074877279481654,1.8439065254384521,1.8667276427354762,0,1,1,3,7,5,0,1,2,4,1,0
